Date,Open,High,Low,Close,Volume
3/11/2021 16:00:00,241.64,281.5,232.6,260,28312493
3/12/2021 16:00:00,275,295.5,262.27,264.5,25845899
3/15/2021 16:00:00,277.52,283,206,220.14,24226187
3/16/2021 16:00:00,203.16,220.7,172.35,208.17,35422867
3/17/2021 16:00:00,217.84,231.47,204,209.81,16481589
3/18/2021 16:00:00,214,218.88,195.65,201.75,11799914
3/19/2021 16:00:00,195.73,227,182.66,200.27,24677297
3/22/2021 16:00:00,205.26,210.36,186.2,194.49,10061505
3/23/2021 16:00:00,197.5,201.75,177.55,181.75,14429145
3/24/2021 16:00:00,157.98,166.97,118.62,120.34,24177877
3/25/2021 16:00:00,123.49,187.5,116.9,183.75,50962337
3/26/2021 16:00:00,197.68,218.93,163.26,181,37430672
3/29/2021 16:00:00,180.75,193.92,173.51,181.3,10042175
3/30/2021 16:00:00,187.5,204.3,182,194.46,17094924
3/31/2021 16:00:00,197.5,199.46,187.11,189.82,8393834
4/1/2021 16:00:00,193.36,196.97,183.6,191.45,9334345
4/5/2021 16:00:00,171,195,164.81,186.95,14070489
4/6/2021 16:00:00,185.21,192,183.56,184.5,6218318
4/7/2021 16:00:00,183.22,184.5,176.11,177.97,4768261
4/8/2021 16:00:00,185.88,185.88,164.3,170.26,10047390
4/9/2021 16:00:00,169.7,171.58,153,158.36,9462380
4/12/2021 16:00:00,158.11,163.9,135.01,141.09,16683595
4/13/2021 16:00:00,141.88,145.38,132,140.99,6806868
4/14/2021 16:00:00,143.57,174.09,143,166.53,21138138
4/15/2021 16:00:00,163,166.25,152.8,156.44,7856780
4/16/2021 16:00:00,156,160.2,151.25,154.69,5214710
4/19/2021 16:00:00,171.8,175.2,162.33,164.37,10520214
4/20/2021 16:00:00,164.14,164.89,153.36,158.53,4658608
4/21/2021 16:00:00,158.4,162.98,155.92,158.51,3812845
4/22/2021 16:00:00,159.1,159.1,146.86,151.17,4345809
4/23/2021 16:00:00,149,153.66,144.7,151.18,4042057
4/26/2021 16:00:00,150.98,174.68,148.76,168.93,10532108
4/27/2021 16:00:00,183.55,188,173.17,177.77,8932718
4/28/2021 16:00:00,172.1,181.98,166.03,178.58,5788938
4/29/2021 16:00:00,176.56,180.86,170.75,176.19,3760250
4/30/2021 16:00:00,175,183.8,172.7,173.59,4433565
5/3/2021 16:00:00,177.49,177.49,159.61,162.2,5261019
5/4/2021 16:00:00,159,161.49,151.8,160.73,4007512
